dataset,config,policy_mode,selectivity,query_id,k,post_filter_recall,candidate_reference_recall,full_authorized_recall,post_filter_underfill,candidate_vs_full_overlap,post_filter_vs_full_overlap,reference_scope,full_base,visible_count,visible_ratio,dim,num_base
gist1m,high-acc,uniform_random,0.1,14,1,0.0,0.0,1.0,1.0,0.0,0.0,full_base_calibration,True,100260,0.10026,960,1000000
gist1m,high-acc,uniform_random,0.1,14,10,0.0,1.0,1.0,1.0,0.3,0.0,full_base_calibration,True,100260,0.10026,960,1000000
gist1m,high-acc,uniform_random,0.1,14,100,1.0,1.0,1.0,1.0,0.08,0.08,full_base_calibration,True,100260,0.10026,960,1000000
gist1m,high-acc,uniform_random,0.1,582,1,0.0,0.0,1.0,1.0,0.0,0.0,full_base_calibration,True,100260,0.10026,960,1000000
gist1m,high-acc,uniform_random,0.1,582,10,0.0,1.0,1.0,1.0,0.1,0.0,full_base_calibration,True,100260,0.10026,960,1000000
gist1m,high-acc,uniform_random,0.1,582,100,1.0,1.0,1.0,1.0,0.02,0.02,full_base_calibration,True,100260,0.10026,960,1000000
gist1m,high-acc,uniform_random,0.1,671,1,0.0,0.0,1.0,1.0,0.0,0.0,full_base_calibration,True,100260,0.10026,960,1000000
gist1m,high-acc,uniform_random,0.1,671,10,0.0,1.0,1.0,1.0,0.4,0.1,full_base_calibration,True,100260,0.10026,960,1000000
gist1m,high-acc,uniform_random,0.1,671,100,1.0,1.0,1.0,1.0,0.08,0.08,full_base_calibration,True,100260,0.10026,960,1000000
gist1m,high-acc,uniform_random,0.1,689,1,0.0,1.0,1.0,1.0,1.0,0.0,full_base_calibration,True,100260,0.10026,960,1000000
gist1m,high-acc,uniform_random,0.1,689,10,0.0,1.0,1.0,1.0,0.3,0.0,full_base_calibration,True,100260,0.10026,960,1000000
gist1m,high-acc,uniform_random,0.1,689,100,1.0,1.0,1.0,1.0,0.07,0.07,full_base_calibration,True,100260,0.10026,960,1000000
gist1m,high-acc,uniform_random,0.1,863,1,0.0,0.0,1.0,1.0,0.0,0.0,full_base_calibration,True,100260,0.10026,960,1000000
gist1m,high-acc,uniform_random,0.1,863,10,0.0,1.0,1.0,1.0,0.2,0.0,full_base_calibration,True,100260,0.10026,960,1000000
gist1m,high-acc,uniform_random,0.1,863,100,1.0,1.0,1.0,1.0,0.07,0.07,full_base_calibration,True,100260,0.10026,960,1000000
gist1m,high-acc,uniform_random,0.1,113,1,0.0,0.0,0.0,1.0,0.0,0.0,full_base_calibration,True,100260,0.10026,960,1000000
gist1m,high-acc,uniform_random,0.1,113,10,0.0,0.0,0.0,1.0,0.5,0.0,full_base_calibration,True,100260,0.10026,960,1000000
gist1m,high-acc,uniform_random,0.1,113,100,0.0,0.0,0.0,1.0,0.11,0.11,full_base_calibration,True,100260,0.10026,960,1000000
gist1m,high-acc,uniform_random,0.1,264,1,0.0,0.0,1.0,1.0,0.0,0.0,full_base_calibration,True,100260,0.10026,960,1000000
gist1m,high-acc,uniform_random,0.1,264,10,0.0,0.0,1.0,1.0,0.1,0.0,full_base_calibration,True,100260,0.10026,960,1000000
gist1m,high-acc,uniform_random,0.1,264,100,0.0,0.0,1.0,1.0,0.06,0.06,full_base_calibration,True,100260,0.10026,960,1000000
gist1m,high-acc,uniform_random,0.1,712,1,0.0,0.0,1.0,1.0,0.0,0.0,full_base_calibration,True,100260,0.10026,960,1000000
