dataset,config,policy_mode,selectivity,k,num_queries,num_base,dim,full_base,visible_count,visible_ratio,post_filter_recall,candidate_reference_recall,full_authorized_recall,post_filter_underfill_rate,candidate_vs_full_overlap,post_filter_vs_full_overlap,candidate_full_recall_gap,post_full_recall_gap,reference_scope
sift1m,high-acc,uniform_random,0.1,1,11,1000000,128,True,100317,0.100317,0.09090909090909091,0.2727272727272727,0.5454545454545454,0.9090909090909091,0.36363636363636365,0.09090909090909091,-0.2727272727272727,-0.4545454545454545,full_base_calibration
sift1m,high-acc,uniform_random,0.1,10,11,1000000,128,True,100317,0.100317,0.09090909090909091,0.5454545454545454,0.5454545454545454,1.0,0.4636363636363637,0.08181818181818183,0.0,-0.4545454545454545,full_base_calibration
sift1m,high-acc,uniform_random,0.1,100,11,1000000,128,True,100317,0.100317,0.5454545454545454,0.5454545454545454,0.5454545454545454,1.0,0.08636363636363636,0.08636363636363636,0.0,0.0,full_base_calibration
sift1m,high-acc,uniform_random,0.25,1,10,1000000,128,True,249631,0.249631,0.1,0.1,0.6,0.9,0.2,0.1,-0.5,-0.5,full_base_calibration
sift1m,high-acc,uniform_random,0.25,10,10,1000000,128,True,249631,0.249631,0.1,0.6,0.6,1.0,0.45999999999999996,0.22000000000000003,0.0,-0.5,full_base_calibration
sift1m,high-acc,uniform_random,0.25,100,10,1000000,128,True,249631,0.249631,0.6,0.6,0.6,1.0,0.20999999999999996,0.20999999999999996,0.0,0.0,full_base_calibration
sift1m,high-acc,uniform_random,0.5,1,15,1000000,128,True,499518,0.499518,0.2,0.2,0.9333333333333333,0.13333333333333333,0.2,0.2,-0.7333333333333334,-0.7333333333333334,full_base_calibration
sift1m,high-acc,uniform_random,0.5,10,15,1000000,128,True,499518,0.499518,0.4666666666666667,0.8,0.9333333333333333,0.6666666666666666,0.4333333333333334,0.3266666666666667,-0.1333333333333333,-0.4666666666666667,full_base_calibration
sift1m,high-acc,uniform_random,0.5,100,15,1000000,128,True,499518,0.499518,0.8666666666666667,0.8666666666666667,0.9333333333333333,1.0,0.33999999999999997,0.33999999999999997,-0.06666666666666665,-0.06666666666666665,full_base_calibration
sift1m,high-acc,uniform_random,0.75,1,15,1000000,128,True,749591,0.749591,0.26666666666666666,0.26666666666666666,0.8666666666666667,0.2,0.3333333333333333,0.3333333333333333,-0.6000000000000001,-0.6000000000000001,full_base_calibration
sift1m,high-acc,uniform_random,0.75,10,15,1000000,128,True,749591,0.749591,0.3333333333333333,0.6666666666666666,0.8666666666666667,0.6666666666666666,0.4266666666666667,0.33333333333333326,-0.20000000000000007,-0.5333333333333334,full_base_calibration
sift1m,high-acc,uniform_random,0.75,100,15,1000000,128,True,749591,0.749591,0.8,0.8,0.8666666666666667,1.0,0.42933333333333334,0.42933333333333334,-0.06666666666666665,-0.06666666666666665,full_base_calibration
sift1m,high-acc,clustered_acl,0.1,1,10,1000000,128,True,100000,0.1,0.0,0.3,0.7,1.0,0.5,0.0,-0.39999999999999997,-0.7,full_base_calibration
sift1m,high-acc,clustered_acl,0.1,10,10,1000000,128,True,100000,0.1,0.2,0.7,0.7,1.0,0.48,0.13,0.0,-0.49999999999999994,full_base_calibration
sift1m,high-acc,clustered_acl,0.1,100,10,1000000,128,True,100000,0.1,0.7,0.7,0.7,1.0,0.09899999999999999,0.09899999999999999,0.0,0.0,full_base_calibration
sift1m,high-acc,clustered_acl,0.25,1,10,1000000,128,True,250000,0.25,0.1,0.2,0.7,0.8,0.3,0.1,-0.49999999999999994,-0.6,full_base_calibration
sift1m,high-acc,clustered_acl,0.25,10,10,1000000,128,True,250000,0.25,0.2,0.7,0.7,1.0,0.45999999999999996,0.13999999999999999,0.0,-0.49999999999999994,full_base_calibration
sift1m,high-acc,clustered_acl,0.25,100,10,1000000,128,True,250000,0.25,0.7,0.7,0.7,1.0,0.209,0.209,0.0,0.0,full_base_calibration
sift1m,high-acc,clustered_acl,0.5,1,15,1000000,128,True,500000,0.5,0.2,0.2,0.8666666666666667,0.2,0.26666666666666666,0.2,-0.6666666666666667,-0.6666666666666667,full_base_calibration
sift1m,high-acc,clustered_acl,0.5,10,15,1000000,128,True,500000,0.5,0.4666666666666667,0.8,0.8666666666666667,0.6666666666666666,0.4533333333333333,0.3466666666666667,-0.06666666666666665,-0.4,full_base_calibration
sift1m,high-acc,clustered_acl,0.5,100,15,1000000,128,True,500000,0.5,0.8666666666666667,0.8666666666666667,0.8666666666666667,1.0,0.34800000000000003,0.34800000000000003,0.0,0.0,full_base_calibration
sift1m,high-acc,clustered_acl,0.75,1,15,1000000,128,True,750000,0.75,0.2,0.2,0.9333333333333333,0.26666666666666666,0.2,0.2,-0.7333333333333334,-0.7333333333333334,full_base_calibration
sift1m,high-acc,clustered_acl,0.75,10,15,1000000,128,True,750000,0.75,0.4,0.7333333333333333,0.9333333333333333,0.6666666666666666,0.36666666666666675,0.3,-0.20000000000000007,-0.5333333333333333,full_base_calibration
sift1m,high-acc,clustered_acl,0.75,100,15,1000000,128,True,750000,0.75,0.8666666666666667,0.8666666666666667,0.9333333333333333,1.0,0.42733333333333334,0.42733333333333334,-0.06666666666666665,-0.06666666666666665,full_base_calibration
sift1m,high-acc,skewed_acl,0.1,1,10,1000000,128,True,100000,0.1,0.0,0.1,0.5,0.9,0.2,0.0,-0.4,-0.5,full_base_calibration
sift1m,high-acc,skewed_acl,0.1,10,10,1000000,128,True,100000,0.1,0.0,0.5,0.5,1.0,0.44000000000000006,0.030000000000000006,0.0,-0.5,full_base_calibration
sift1m,high-acc,skewed_acl,0.1,100,10,1000000,128,True,100000,0.1,0.5,0.5,0.5,1.0,0.08499999999999999,0.08499999999999999,0.0,0.0,full_base_calibration
sift1m,high-acc,skewed_acl,0.25,1,10,1000000,128,True,250000,0.25,0.2,0.2,0.7,0.5,0.2,0.2,-0.49999999999999994,-0.49999999999999994,full_base_calibration
sift1m,high-acc,skewed_acl,0.25,10,10,1000000,128,True,250000,0.25,0.2,0.7,0.7,1.0,0.43,0.19000000000000003,0.0,-0.49999999999999994,full_base_calibration
sift1m,high-acc,skewed_acl,0.25,100,10,1000000,128,True,250000,0.25,0.7,0.7,0.7,1.0,0.187,0.187,0.0,0.0,full_base_calibration
sift1m,high-acc,skewed_acl,0.5,1,13,1000000,128,True,500000,0.5,0.23076923076923078,0.3076923076923077,0.7692307692307693,0.46153846153846156,0.38461538461538464,0.3076923076923077,-0.46153846153846156,-0.5384615384615385,full_base_calibration
sift1m,high-acc,skewed_acl,0.5,10,13,1000000,128,True,500000,0.5,0.38461538461538464,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.4461538461538461,0.26153846153846155,0.0,-0.38461538461538464,full_base_calibration
sift1m,high-acc,skewed_acl,0.5,100,13,1000000,128,True,500000,0.5,0.7692307692307693,0.7692307692307693,0.7692307692307693,1.0,0.3315384615384615,0.3315384615384615,0.0,0.0,full_base_calibration
sift1m,high-acc,skewed_acl,0.75,1,15,1000000,128,True,750000,0.75,0.06666666666666667,0.13333333333333333,1.0,0.3333333333333333,0.13333333333333333,0.06666666666666667,-0.8666666666666667,-0.9333333333333333,full_base_calibration
sift1m,high-acc,skewed_acl,0.75,10,15,1000000,128,True,750000,0.75,0.5333333333333333,0.8666666666666667,1.0,0.6666666666666666,0.4000000000000001,0.36000000000000004,-0.1333333333333333,-0.4666666666666667,full_base_calibration
