dataset,config,policy_mode,selectivity,k,num_queries,visible_ratio,unrestricted_recall,post_filter_recall,authorized_recall,underfill_rate,avg_visible_results,violation_count,violation_rate,utility_gap,affected_query_rate,reference_scope
sift1m,high-acc,uniform_random,0.1,1,10000,0.10022600000000001,0.3186,0.031,0.0638,0.9001,0.0999,0,0.0,0.032799999999999996,0.9,candidate_level
sift1m,high-acc,uniform_random,0.1,10,10000,0.10022600000000001,0.7451,0.0725,0.0919,1.0,1.001,0,0.0,0.0194,0.9999,candidate_level
sift1m,high-acc,uniform_random,0.1,100,10000,0.10022600000000001,0.9583,0.0921,0.0921,1.0,10.0226,0,0.0,0.0,0.0,candidate_level
sift1m,high-acc,uniform_random,0.25,1,10000,0.24992799999999998,0.3186,0.0804,0.1332,0.7499,0.2501,0,0.0,0.052800000000000014,0.7499,candidate_level
sift1m,high-acc,uniform_random,0.25,10,10000,0.24992799999999998,0.7451,0.1875,0.2256,1.0,2.5073,0,0.0,0.038099999999999995,1.0,candidate_level
sift1m,high-acc,uniform_random,0.25,100,10000,0.24992799999999998,0.9583,0.2364,0.2364,1.0,24.9928,0,0.0,0.0,0.0,candidate_level
sift1m,high-acc,uniform_random,0.5,1,10000,0.50081,0.3186,0.1604,0.2068,0.5078,0.4922,0,0.0,0.046400000000000025,0.5078,candidate_level
sift1m,high-acc,uniform_random,0.5,10,10000,0.50081,0.7451,0.3738,0.4215,0.9989,4.9962,0,0.0,0.047699999999999965,0.9989,candidate_level
sift1m,high-acc,uniform_random,0.5,100,10000,0.50081,0.9583,0.4803,0.4803,1.0,50.081,0,0.0,0.0,0.0,candidate_level
sift1m,high-acc,uniform_random,0.75,1,10000,0.7497480000000001,0.3186,0.2438,0.2747,0.2425,0.7575,0,0.0,0.03090000000000001,0.2425,candidate_level
sift1m,high-acc,uniform_random,0.75,10,10000,0.7497480000000001,0.7451,0.5623,0.5943,0.9454,7.4929,0,0.0,0.03200000000000003,0.9454,candidate_level
sift1m,high-acc,uniform_random,0.75,100,10000,0.7497480000000001,0.9583,0.7214,0.7214,1.0,74.9748,0,0.0,0.0,0.0,candidate_level
sift1m,high-acc,clustered_acl,0.1,1,10000,0.100103,0.3186,0.0307,0.063,0.8984,0.1016,0,0.0,0.032299999999999995,0.8984,candidate_level
sift1m,high-acc,clustered_acl,0.1,10,10000,0.100103,0.7451,0.0725,0.0929,1.0,1.0079,0,0.0,0.0204,1.0,candidate_level
sift1m,high-acc,clustered_acl,0.1,100,10000,0.100103,0.9583,0.0934,0.0934,1.0,10.0103,0,0.0,0.0,0.0,candidate_level
