path,repeat_id,num_vectors,dim,n_list,n_probe,slot_per_list,top_k,N_sel,N_acl,N_acl_max,acl_ratio,visible_ratio,build_time,prove_time,verify_time,proof_size,memory,gates
auth_committed,0,400,64,8,4,64,5,256,1,1,0.003906,1.000000,1.595058404,0.702317679,0.005060254,144415,1543421952,23583
auth_acl_class,0,400,64,8,4,64,5,256,1,1,0.003906,1.000000,1.462418574,0.650201259,0.005000893,142021,1982484480,22210
auth_committed,0,400,64,8,4,64,5,256,2,2,0.007812,0.500000,1.365904336,0.688571891,0.005044234,145200,2233360384,23583
auth_acl_class,0,400,64,8,4,64,5,256,2,2,0.007812,0.500000,1.296874821,0.657493717,0.005036234,147049,2343665664,22402
auth_committed,0,400,64,8,4,64,5,256,4,4,0.015625,0.750000,1.276123984,0.647223124,0.005062185,143918,2408947712,23583
auth_acl_class,0,400,64,8,4,64,5,256,4,4,0.015625,0.750000,1.329913938,0.700229476,0.005019414,142262,2462281728,22787
auth_committed,0,400,64,8,4,64,5,256,8,8,0.031250,0.872807,1.504454812,0.669542334,0.005034015,143647,2519605248,23583
auth_acl_class,0,400,64,8,4,64,5,256,8,8,0.031250,0.872807,1.449080199,0.651850443,0.005064585,144502,2493132800,23562
auth_committed,0,400,64,8,4,64,5,256,16,16,0.062500,0.934211,1.432627039,0.670682084,0.005023775,143903,2498850816,23583
auth_acl_class,0,400,64,8,4,64,5,256,16,16,0.062500,0.934211,1.374517757,0.669458468,0.005038015,144935,2535976960,25125
auth_committed,0,400,64,8,4,64,5,256,32,32,0.125000,0.964912,1.284633068,0.677820831,0.005022315,145343,2489405440,23583
auth_acl_class,0,400,64,8,4,64,5,256,32,32,0.125000,0.964912,1.198013042,0.734899715,0.005057866,145112,2508320768,28275
auth_committed,0,400,64,8,4,64,5,256,64,64,0.250000,0.982456,1.429428886,0.695983574,0.005039456,144494,2504359936,23583
auth_acl_class,0,400,64,8,4,64,5,256,64,64,0.250000,0.982456,3.055064426,1.273967832,0.0053254,150697,3522011136,34621
auth_committed,1,400,64,8,4,64,5,256,1,1,0.003906,1.000000,1.276160334,0.698869015,0.005062927,144927,3323035648,23583
auth_acl_class,1,400,64,8,4,64,5,256,1,1,0.003906,1.000000,1.310930546,0.678353985,0.005036456,144150,3338473472,22210
auth_committed,1,400,64,8,4,64,5,256,2,2,0.007812,0.497758,1.242284472,0.682333865,0.005064746,144415,3392540672,23583
auth_acl_class,1,400,64,8,4,64,5,256,2,2,0.007812,0.497758,1.331716844,0.688772871,0.005069127,145464,3400138752,22402
auth_committed,1,400,64,8,4,64,5,256,4,4,0.015625,0.748879,1.313546477,0.706810345,0.006801804,142941,3403247616,23583
auth_acl_class,1,400,64,8,4,64,5,256,4,4,0.015625,0.748879,1.460756336,0.7169691,0.005102058,146729,3375034368,22787
auth_committed,1,400,64,8,4,64,5,256,8,8,0.031250,0.874439,1.25573724,0.680217341,0.005053367,145680,3404169216,23583
auth_acl_class,1,400,64,8,4,64,5,256,8,8,0.031250,0.874439,1.256662549,0.696825553,0.005039937,145511,3375104000,23562
auth_committed,1,400,64,8,4,64,5,256,16,16,0.062500,0.937220,1.284120294,0.690353222,0.00518826,147041,3375079424,23583
auth_acl_class,1,400,64,8,4,64,5,256,16,16,0.062500,0.937220,1.257295848,0.700193312,0.005050907,144391,3375218688,25125
auth_committed,1,400,64,8,4,64,5,256,32,32,0.125000,0.968610,1.304644878,0.688790018,0.005139399,146288,3375132672,23583
auth_acl_class,1,400,64,8,4,64,5,256,32,32,0.125000,0.968610,1.2254613380000001,0.731376552,0.005051448,143109,3383676928,28275
auth_committed,1,400,64,8,4,64,5,256,64,64,0.250000,0.982063,1.300840873,0.689951423,0.005040468,144656,3371220992,23583
auth_acl_class,1,400,64,8,4,64,5,256,64,64,0.250000,0.982063,2.779984154,1.276153238,0.005309692,153852,4026974208,34621
auth_committed,2,400,64,8,4,64,5,256,1,1,0.003906,1.000000,1.327936789,0.672804928,0.005045389,143086,3768266752,23583
auth_acl_class,2,400,64,8,4,64,5,256,1,1,0.003906,1.000000,1.341899661,0.695026841,0.005057189,146313,3779727360,22210
auth_committed,2,400,64,8,4,64,5,256,2,2,0.007812,0.500000,1.322020398,0.683617861,0.005069799,140955,3781885952,23583
auth_acl_class,2,400,64,8,4,64,5,256,2,2,0.007812,0.500000,1.466062676,0.700803459,0.005051658,144792,3782995968,22402
auth_committed,2,400,64,8,4,64,5,256,4,4,0.015625,0.750000,1.418456513,0.749917546,0.00509578,143327,3787210752,23583
auth_acl_class,2,400,64,8,4,64,5,256,4,4,0.015625,0.750000,1.342555155,0.700064375,0.005057059,140756,3783065600,22787
auth_committed,2,400,64,8,4,64,5,256,8,8,0.031250,0.872642,1.440098009,0.725924549,0.005036549,145311,3783127040,23583
auth_acl_class,2,400,64,8,4,64,5,256,8,8,0.031250,0.872642,1.301008195,0.695075073,0.005033189,145880,3783168000,23562
auth_committed,2,400,64,8,4,64,5,256,16,16,0.062500,0.933962,1.325342102,0.679416764,0.00504172,141179,3783495680,23583
auth_acl_class,2,400,64,8,4,64,5,256,16,16,0.062500,0.933962,1.3860841320000001,0.730564359,0.00506565,143687,3783696384,25125
auth_committed,2,400,64,8,4,64,5,256,32,32,0.125000,0.966981,1.448194978,0.72873179,0.00506172,146482,3783503872,23583
auth_acl_class,2,400,64,8,4,64,5,256,32,32,0.125000,0.966981,1.273975116,0.731981321,0.00505107,145961,3803242496,28275
auth_committed,2,400,64,8,4,64,5,256,64,64,0.250000,0.981132,1.436902757,0.707384011,0.00508595,143086,3776299008,23583
auth_acl_class,2,400,64,8,4,64,5,256,64,64,0.250000,0.981132,3.192410611,1.308194488,0.005285874,148519,4201496576,34621
