path,repeat_id,num_vectors,dim,n_list,n_probe,slot_per_list,top_k,N_sel,visible_ratio,auth_tree_depth,build_time,prove_time,verify_time,proof_size,memory,gates
baseline,0,400,64,8,2,32,5,64,0.968750,6,0.701504216,0.36728727,0.004735708,138340,860872704,10032
auth_all_visible,0,400,64,8,2,32,5,64,0.968750,6,0.714978769,0.346450322,0.004750998,135778,1102909440,10039
auth_policy,0,400,64,8,2,32,5,64,0.968750,6,0.754474099,0.358640158,0.004733568,134624,1264549888,10442
auth_committed,0,400,64,8,2,32,5,64,0.968750,6,0.597782733,0.339523289,0.004729628,133527,1329332224,11062
auth_slot_aligned,0,400,64,8,2,32,5,64,0.968750,8,0.66962898,0.339979118,0.004723348,136571,1349419008,10979
baseline,0,400,64,8,2,64,5,128,0.983333,7,0.631134098,0.329786653,0.00482339,135185,1363853312,10459
auth_all_visible,0,400,64,8,2,64,5,128,0.983333,7,0.655072281,0.335728417,0.004743238,137828,1368682496,10472
auth_policy,0,400,64,8,2,64,5,128,0.983333,7,0.566632688,0.340808431,0.004754538,135360,1374969856,11278
auth_committed,0,400,64,8,2,64,5,128,0.983333,7,0.668647774,0.356565498,0.004745398,137900,1380601856,12706
auth_slot_aligned,0,400,64,8,2,64,5,128,0.983333,9,0.568254668,0.347969251,0.004746928,138446,1384640512,12530
baseline,0,400,64,8,2,128,5,256,0.983333,8,0.629144174,0.349141336,0.004750148,137683,1387249664,11313
auth_all_visible,0,400,64,8,2,128,5,256,0.983333,8,0.579660133,0.338231895,0.005109247,138788,1390272512,11339
auth_policy,0,400,64,8,2,128,5,256,0.983333,8,0.567337829,0.359516727,0.004757059,136177,1393872896,12952
auth_committed,0,400,64,8,2,128,5,256,0.983333,8,0.559979527,0.401032883,0.004777039,131925,1397612544,16178
auth_slot_aligned,0,400,64,8,2,128,5,256,0.983333,10,0.55936173,0.391128245,0.004769198,135191,1399988224,15816
baseline,0,400,64,8,4,32,5,128,0.984375,7,1.377846646,0.676123473,0.005009014,143366,1927651328,17863
auth_all_visible,0,400,64,8,4,32,5,128,0.984375,7,1.3007451749999999,0.626319902,0.004998444,142278,2161377280,17876
auth_policy,0,400,64,8,4,32,5,128,0.984375,7,1.312848676,0.616792309,0.004986363,142118,2270302208,18683
auth_committed,0,400,64,8,4,32,5,128,0.984375,7,1.314978361,0.626019122,0.005042415,142143,2352611328,20110
auth_slot_aligned,0,400,64,8,4,32,5,128,0.984375,8,1.512262433,0.63020693,0.005912384,145296,2399363072,19758
baseline,0,400,64,8,4,64,5,256,0.991228,8,1.547690052,0.648630822,0.0052748,143125,2422407168,18720
auth_all_visible,0,400,64,8,4,64,5,256,0.991228,8,1.561125979,0.63567848,0.005048894,147417,2413113344,18744
auth_policy,0,400,64,8,4,64,5,256,0.991228,8,1.5935166170000001,0.668119059,0.005019894,140019,2444152832,20358
auth_committed,0,400,64,8,4,64,5,256,0.991228,8,1.325677389,0.669622176,0.005063405,146416,2487590912,23583
auth_slot_aligned,0,400,64,8,4,64,5,256,0.991228,9,1.330559426,0.695981586,0.005021464,143596,2525020160,22861
baseline,0,400,64,8,4,128,5,512,0.991228,9,1.247994048,0.664929675,0.005086405,145574,2536812544,20432
auth_all_visible,0,400,64,8,4,128,5,512,0.991228,9,1.383250712,0.654302917,0.005062505,147336,2489888768,20483
auth_policy,0,400,64,8,4,128,5,512,0.991228,9,1.380916464,0.65960801,0.005066985,143908,2548125696,23708
auth_committed,0,400,64,8,4,128,5,512,0.991228,9,1.210838387,0.738346445,0.005102496,147007,2557800448,30902
auth_slot_aligned,0,400,64,8,4,128,5,512,0.991228,10,1.211707294,0.734371037,0.005065165,146926,2515054592,29437
baseline,1,400,64,8,2,32,5,64,0.968750,6,0.61845849,0.349644168,0.004749708,138293,2440208384,10032
auth_all_visible,1,400,64,8,2,32,5,64,0.968750,6,0.621929775,0.338618037,0.004798468,135170,2440208384,10039
auth_policy,1,400,64,8,2,32,5,64,0.968750,6,0.62317142,0.337201214,0.004761847,136245,2449563648,10442
auth_committed,1,400,64,8,2,32,5,64,0.968750,6,0.720834785,0.392244206,0.004789338,133975,2449567744,11062
auth_slot_aligned,1,400,64,8,2,32,5,64,0.968750,8,0.77479747,0.371915435,0.004752648,134632,2425425920,10979
baseline,1,400,64,8,2,64,5,128,0.983051,7,0.82764349,0.375800439,0.004769318,135072,2425421824,10459
auth_all_visible,1,400,64,8,2,64,5,128,0.983051,7,0.612970327,0.362547609,0.004764078,134577,2425421824,10472
auth_policy,1,400,64,8,2,64,5,128,0.983051,7,0.62123247,0.363592311,0.004775947,136770,2425470976,11278
auth_committed,1,400,64,8,2,64,5,128,0.983051,7,0.595830874,0.372232213,0.004813599,137533,2425503744,12706
auth_slot_aligned,1,400,64,8,2,64,5,128,0.983051,9,0.606430639,0.381071182,0.004826539,136731,2425499648,12530
baseline,1,400,64,8,2,128,5,256,0.984496,8,0.610266952,0.372653991,0.004776907,140213,2425479168,11313
auth_all_visible,1,400,64,8,2,128,5,256,0.984496,8,0.857728504,0.39362298,0.004792038,138052,2425483264,11339
auth_policy,1,400,64,8,2,128,5,256,0.984496,8,0.753396735,0.391166703,0.004795038,134976,2425569280,12952
auth_committed,1,400,64,8,2,128,5,256,0.984496,8,0.650740315,0.41107619,0.004772248,136266,2425638912,16178
auth_slot_aligned,1,400,64,8,2,128,5,256,0.984496,10,0.653168566,0.400663363,0.004767968,137482,2425634816,15816
baseline,1,400,64,8,4,32,5,128,0.984375,7,1.473146423,0.655707837,0.005013143,142598,2514964480,17863
auth_all_visible,1,400,64,8,4,32,5,128,0.984375,7,1.481456315,0.668541139,0.005013992,142869,2519777280,17876
auth_policy,1,400,64,8,4,32,5,128,0.984375,7,1.491449175,0.63738359,0.005031423,144904,2522464256,18683
auth_committed,1,400,64,8,4,32,5,128,0.984375,7,1.4394530589999999,0.661310542,0.005022733,145072,2526420992,20110
auth_slot_aligned,1,400,64,8,4,32,5,128,0.984375,8,1.38278923,0.673178873,0.005045514,143999,2529312768,19758
baseline,1,400,64,8,4,64,5,256,0.991031,8,1.413906257,0.666021145,0.005018323,145719,2507956224,18720
auth_all_visible,1,400,64,8,4,64,5,256,0.991031,8,1.5561770099999999,0.668080184,0.005097364,146167,2511740928,18744
auth_policy,1,400,64,8,4,64,5,256,0.991031,8,1.501033505,0.689208082,0.005041433,144424,2513915904,20358
auth_committed,1,400,64,8,4,64,5,256,0.991031,8,1.373090076,0.703010826,0.005057554,144191,2545745920,23583
auth_slot_aligned,1,400,64,8,4,64,5,256,0.991031,9,1.317797082,0.69457992,0.005037713,145601,2548027392,22861
baseline,1,400,64,8,4,128,5,512,0.992157,9,1.5204840069999999,0.69400737,0.005075443,144548,2551209984,20432
auth_all_visible,1,400,64,8,4,128,5,512,0.992157,9,1.5142202409999999,0.671341114,0.005082104,144004,2555523072,20483
auth_policy,1,400,64,8,4,128,5,512,0.992157,9,1.3690573719999999,0.697951704,0.005063823,146295,2556137472,23708
auth_committed,1,400,64,8,4,128,5,512,0.992157,9,1.319000666,0.795099494,0.005092054,145407,2594799616,30902
auth_slot_aligned,1,400,64,8,4,128,5,512,0.992157,10,1.356867961,0.804374613,0.005067054,146158,2583633920,29437
baseline,2,400,64,8,2,32,5,64,0.968750,6,0.686933469,0.360745625,0.004781737,130253,2510737408,10032
auth_all_visible,2,400,64,8,2,32,5,64,0.968750,6,0.70993822,0.351097617,0.004782527,136996,2463232000,10039
auth_policy,2,400,64,8,2,32,5,64,0.968750,6,0.649084545,0.361918909,0.004761956,136258,2459099136,10442
auth_committed,2,400,64,8,2,32,5,64,0.968750,6,0.684791811,0.370901307,0.004757896,137644,2488606720,11062
auth_slot_aligned,2,400,64,8,2,32,5,64,0.968750,8,0.645717044,0.379758484,0.004759676,135129,2488602624,10979
baseline,2,400,64,8,2,64,5,128,0.983193,7,0.727475719,0.380337385,0.004764987,133743,2488590336,10459
auth_all_visible,2,400,64,8,2,64,5,128,0.983193,7,0.703303095,0.361257617,0.004764036,135793,2488590336,10472
auth_policy,2,400,64,8,2,64,5,128,0.983193,7,0.639082616,0.383538264,0.004984561,136275,2488635392,11278
auth_committed,2,400,64,8,2,64,5,128,0.983193,7,0.727860077,0.399417306,0.004764486,138781,2488664064,12706
auth_slot_aligned,2,400,64,8,2,64,5,128,0.983193,9,0.62969352,0.381878653,0.004757436,136923,2488659968,12530
baseline,2,400,64,8,2,128,5,256,0.983871,8,0.724822272,0.372433759,0.004761346,136177,2488631296,11313
auth_all_visible,2,400,64,8,2,128,5,256,0.983871,8,0.721178558,0.399887741,0.004775107,140614,2488631296,11339
auth_policy,2,400,64,8,2,128,5,256,0.983871,8,0.712545552,0.39857946,0.004763916,135072,2488717312,12952
auth_committed,2,400,64,8,2,128,5,256,0.983871,8,0.687464958,0.423248269,0.004767016,136330,2488782848,16178
auth_slot_aligned,2,400,64,8,2,128,5,256,0.983871,10,0.642364268,0.420389813,0.004774087,139180,2488782848,15816
baseline,2,400,64,8,4,32,5,128,0.984000,7,1.456321336,0.650675697,0.005063003,146009,2564038656,17863
auth_all_visible,2,400,64,8,4,32,5,128,0.984000,7,1.433674219,0.665797188,0.005009672,142214,2567434240,17876
auth_policy,2,400,64,8,4,32,5,128,0.984000,7,1.480786176,0.660216248,0.005020692,144247,2573135872,18683
auth_committed,2,400,64,8,4,32,5,128,0.984000,7,1.426714367,0.694704341,0.005024382,143327,2611892224,20110
auth_slot_aligned,2,400,64,8,4,32,5,128,0.984000,8,1.416496307,0.67381428,0.005014422,143423,2613510144,19758
baseline,2,400,64,8,4,64,5,256,0.990566,8,1.438371242,0.664816083,0.005036392,143253,2617237504,18720
auth_all_visible,2,400,64,8,4,64,5,256,0.990566,8,1.3784058350000001,0.656230156,0.005044272,141828,2619777024,18744
auth_policy,2,400,64,8,4,64,5,256,0.990566,8,1.424184992,0.660894184,0.005061663,142310,2621767680,20358
auth_committed,2,400,64,8,4,64,5,256,0.990566,8,1.379360201,0.699749523,0.005071412,145072,2576465920,23583
auth_slot_aligned,2,400,64,8,4,64,5,256,0.990566,9,1.401756828,0.728625168,0.005056183,141339,2577465344,22861
baseline,2,400,64,8,4,128,5,512,0.991111,9,1.48206065,0.678081149,0.005082233,145687,2581168128,20432
auth_all_visible,2,400,64,8,4,128,5,512,0.991111,9,1.460651682,0.679360991,0.005064822,144597,2581946368,20483
auth_policy,2,400,64,8,4,128,5,512,0.991111,9,1.398010838,0.736727239,0.005059733,145815,2577666048,23708
auth_committed,2,400,64,8,4,128,5,512,0.991111,9,1.384159917,0.809479307,0.005098763,142860,2606866432,30902
auth_slot_aligned,2,400,64,8,4,128,5,512,0.991111,10,1.3742160939999999,0.784828483,0.005096123,143436,2610958336,29437
