path,repeat_id,num_vectors,dim,n_list,n_probe,slot_per_list,top_k,N_sel,visible_ratio,auth_tree_depth,build_time,prove_time,verify_time,proof_size,memory,gates
baseline,0,400,64,8,2,32,5,64,0.968750,6,0.774464904,0.389668966,0.004740163,134385,841117696,10032
auth_all_visible,0,400,64,8,2,32,5,64,0.968750,6,0.698567332,0.404117759,0.004734681,136179,1057546240,10039
auth_policy,0,400,64,8,2,32,5,64,0.968750,6,0.713442605,0.40057279,0.004753042,137683,1204879360,10442
auth_committed,0,400,64,8,2,32,5,64,0.968750,6,0.77748453,0.380136725,0.004756702,135225,1275535360,11062
baseline,0,400,64,8,2,64,5,128,0.983333,7,0.770658404,0.383114519,0.004758581,137796,1266225152,10459
auth_all_visible,0,400,64,8,2,64,5,128,0.983333,7,0.673269323,0.359563452,0.004737101,137188,1317560320,10472
auth_policy,0,400,64,8,2,64,5,128,0.983333,7,0.597443569,0.36270246,0.00474684,136851,1337417728,11278
auth_committed,0,400,64,8,2,64,5,128,0.983333,7,0.607506556,0.399029683,0.004781832,137019,1358241792,12706
baseline,0,400,64,8,4,32,5,128,0.984375,7,1.399932935,0.691718534,0.005046623,143208,1846095872,17863
auth_all_visible,0,400,64,8,4,32,5,128,0.984375,7,1.362200041,0.687170809,0.0049948,142404,2076635136,17876
auth_policy,0,400,64,8,4,32,5,128,0.984375,7,1.273586299,0.679249578,0.00500587,144345,2194128896,18683
auth_committed,0,400,64,8,4,32,5,128,0.984375,7,1.260591957,0.710575842,0.005052031,143615,2297344000,20110
baseline,0,400,64,8,4,64,5,256,0.991228,8,1.456357334,0.700618473,0.0050493,142099,2277527552,18720
auth_all_visible,0,400,64,8,4,64,5,256,0.991228,8,1.591636391,0.70607425,0.005018408,146344,2296233984,18744
auth_policy,0,400,64,8,4,64,5,256,0.991228,8,1.261214847,0.703350076,0.005030928,143302,2368163840,20358
auth_committed,0,400,64,8,4,64,5,256,0.991228,8,1.398706679,0.772461824,0.005029397,142429,2385911808,23583
