path,repeat_id,num_vectors,dim,n_list,n_probe,slot_per_list,top_k,N_sel,visible_ratio,auth_tree_depth,build_time,prove_time,verify_time,proof_size,memory,gates
baseline,0,400,64,8,2,32,5,64,0.968750,6,0.822967619,0.365531541,0.004733076,136851,837505024,10032
auth_all_visible,0,400,64,8,2,32,5,64,0.968750,6,0.705706201,0.337633375,0.004744066,137220,1095299072,10039
auth_policy,0,400,64,8,2,32,5,64,0.968750,6,0.724904851,0.338808009,0.004772676,133920,1267249152,10442
auth_committed,0,400,64,8,2,32,5,64,0.968750,6,0.68385714,0.37218007,0.004725235,136492,1320910848,11062
auth_slot_aligned,0,400,64,8,2,32,5,64,0.968750,8,0.609041855,0.360922707,0.005129466,137900,1353420800,10979
baseline,0,400,64,8,2,64,5,128,0.983333,7,0.696426163,0.363067256,0.004758346,137282,1319665664,10459
auth_all_visible,0,400,64,8,2,64,5,128,0.983333,7,0.741516775,0.372737948,0.004740075,136177,1368469504,10472
auth_policy,0,400,64,8,2,64,5,128,0.983333,7,0.660190381,0.383778064,0.004773267,136514,1380990976,11278
auth_committed,0,400,64,8,2,64,5,128,0.983333,7,0.663749635,0.374531813,0.004756766,137324,1385951232,12706
auth_slot_aligned,0,400,64,8,2,64,5,128,0.983333,9,0.675447332,0.390100339,0.004795866,137964,1390297088,12530
baseline,0,400,64,8,4,32,5,128,0.984375,7,1.407661886,0.617074748,0.004993532,144471,1880625152,17863
auth_all_visible,0,400,64,8,4,32,5,128,0.984375,7,1.401458798,0.663597798,0.005000152,142487,2106658816,17876
auth_policy,0,400,64,8,4,32,5,128,0.984375,7,1.298112274,0.630398424,0.004993002,145128,2215096320,18683
auth_committed,0,400,64,8,4,32,5,128,0.984375,7,1.4102153579999999,0.684752573,0.005015262,143167,2269683712,20110
auth_slot_aligned,0,400,64,8,4,32,5,128,0.984375,8,1.2957802059999999,0.663742323,0.005049412,143408,2320838656,19758
baseline,0,400,64,8,4,64,5,256,0.991228,8,1.3307676370000001,0.652223461,0.005053953,142709,2337673216,18720
auth_all_visible,0,400,64,8,4,64,5,256,0.991228,8,1.294419856,0.636314185,0.005023402,144454,2394509312,18744
auth_policy,0,400,64,8,4,64,5,256,0.991228,8,1.4524216079999999,0.688499243,0.005062612,140883,2364915712,20358
auth_committed,0,400,64,8,4,64,5,256,0.991228,8,1.361969545,0.688731079,0.005024851,142508,2371256320,23583
auth_slot_aligned,0,400,64,8,4,64,5,256,0.991228,9,1.39697464,0.688081121,0.005043942,146945,2379456512,22861
