case_id,workload_model,physical_layout,num_objects,num_roles,num_signatures,query_role,merged_k,seed,n_lists,slot_per_list,N_slots,N_valid,N_vis,N_invis,effective_selectivity,total_memberships,stored_entries_norm,region_count,pure_visible_regions,pure_invisible_regions,impure_regions,pure_visible_region_ratio,pure_invisible_region_ratio,impure_region_ratio,pure_visible_valid_ratio,pure_invisible_valid_ratio,impure_valid_ratio,N_dist_masked,N_dist_plan,N_dist_ideal,dist_reduction_plan,dist_reduction_ideal,estimated_cost_masked,estimated_cost_plan,estimated_cost_ideal,estimated_region_cost,estimated_visibility_cost,estimated_distance_cost,estimated_mask_topk_cost,SA_commit,PA_plan,PA_ideal,plan_vs_masked_cost,ideal_vs_masked_cost,planned_equals_masked,validation_passed
global_r0_mk0_s0_o4096_sig64,access_signature_layout,global,4096,16,64,0,0,0,64,64,4096,4096,2095,2001,0.511475,25802,1.000000,1,0,0,1,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,4096,4096,2095,0.000000,0.488525,61440,61442,35338,2,12288,40960,8192,1.020000,2.452187,1.410361,1.000033,0.575163,true,true
global_r0_mk0_s1_o4096_sig64,access_signature_layout,global,4096,16,64,0,0,1,64,64,4096,4096,1559,2537,0.380615,17399,1.000000,1,0,0,1,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,4096,4096,1559,0.000000,0.619385,61440,61442,29442,2,12288,40960,8192,1.020000,3.119517,1.494821,1.000033,0.479199,true,true
global_r0_mk0_s2_o4096_sig64,access_signature_layout,global,4096,16,64,0,0,2,64,64,4096,4096,388,3708,0.094727,10907,1.000000,1,0,0,1,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,4096,4096,388,0.000000,0.905273,61440,61442,16561,2,12288,40960,8192,1.020000,7.693714,2.073754,1.000033,0.269548,true,true
global_r0_mk0_s3_o4096_sig64,access_signature_layout,global,4096,16,64,0,0,3,64,64,4096,4096,1264,2832,0.308594,18908,1.000000,1,0,0,1,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,4096,4096,1264,0.000000,0.691406,61440,61442,26197,2,12288,40960,8192,1.020000,3.669055,1.564374,1.000033,0.426383,true,true
global_r0_mk0_s4_o4096_sig64,access_signature_layout,global,4096,16,64,0,0,4,64,64,4096,4096,879,3217,0.214600,18837,1.000000,1,0,0,1,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,4096,4096,879,0.000000,0.785400,61440,61442,21962,2,12288,40960,8192,1.020000,4.764423,1.703009,1.000033,0.357454,true,true
global_r1_mk0_s0_o4096_sig64,access_signature_layout,global,4096,16,64,1,0,0,64,64,4096,4096,1729,2367,0.422119,25802,1.000000,1,0,0,1,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,4096,4096,1729,0.000000,0.577881,61440,61442,31312,2,12288,40960,8192,1.020000,2.871658,1.463451,1.000033,0.509635,true,true
global_r1_mk0_s1_o4096_sig64,access_signature_layout,global,4096,16,64,1,0,1,64,64,4096,4096,2460,1636,0.600586,17399,1.000000,1,0,0,1,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,4096,4096,2460,0.000000,0.399414,61440,61442,39353,2,12288,40960,8192,1.020000,2.140389,1.370898,1.000033,0.640511,true,true
global_r1_mk0_s2_o4096_sig64,access_signature_layout,global,4096,16,64,1,0,2,64,64,4096,4096,441,3655,0.107666,10907,1.000000,1,0,0,1,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,4096,4096,441,0.000000,0.892334,61440,61442,17144,2,12288,40960,8192,1.020000,7.214890,2.013152,1.000033,0.279036,true,true
global_r1_mk0_s3_o4096_sig64,access_signature_layout,global,4096,16,64,1,0,3,64,64,4096,4096,355,3741,0.086670,18908,1.000000,1,0,0,1,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,4096,4096,355,0.000000,0.913330,61440,61442,16198,2,12288,40960,8192,1.020000,8.025340,2.115726,1.000033,0.263639,true,true
global_r1_mk0_s4_o4096_sig64,access_signature_layout,global,4096,16,64,1,0,4,64,64,4096,4096,2524,1572,0.616211,18837,1.000000,1,0,0,1,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,4096,4096,2524,0.000000,0.383789,61440,61442,40057,2,12288,40960,8192,1.020000,2.093710,1.364990,1.000033,0.651969,true,true
